Gene Names
ABL1
CDKN2B
KIT
RAD50
PTCH2
ABL2
CEBPA
KRAS
RB1
CBL
AKT1
CSF1R
MAP2K1
RET
SETBP1
AKT3
CTNNB1
MAP2K2
RICTOR
ZRSR2
ALK
DDR2
MAPK1
RNF43
ASXL2
APC
DNMT3A
MCL1
ROS1
BCORL1
AR
DPYD
MDM2
RPTOR
CSF3R
ARAF
EGFR
MET
RUNX1
DNMT1
ASXL1
EMSY
MLH1
SF3B1
EED
ATM
ERBB2
MPL
SLCO1B1
ELANE
ATR
ERBB3
MRE11A
SMAD4
ETNK1
ATRX
ERBB4
MSH2
SMARCB1
FAM5C
AURKA
ERCC2
MSH6
SMO
GATA1
AURKB
ESR1
MTOR
SRC
GATA2
AXL
ETV6
MUTYH
SRSF2
HNRNPK
BCL2
EZH2
MYC
STK11
KDM6A
BRAF
FGFR1
MYD88
SYK
LUC7L2
BRCA1
FGFR2
NBN
TERT
MLL
BRCA2
FGFR3
NF1
TET2
NSD1
BTK
FGFR4
NFE2L2
TP53
PHF6
CALR
FLT3
NOTCH1
TPMT
PRPF40B
CCND1
GNA11
NPM1
TSC1
PRPF8
CCND2
GNAQ
NRAS
TSC2
RAD21
CCND3
GNAS
NTRK1
U2AF1
SF1
CD274
H3F3A
NTRK2
UGT1A1
SF3A1
CDK12
HNF1A
NTRK3
VEGFA
SMC1A
CDK2
HRAS
PALB2
VHL
SMC3
CDK4
IDH1
PARP1
WT1
STAG2
CDK5
IDH2
PARP2
BCOR
SUZ12
CDK6
IGF1R
PDGFRA
PDGFRB
U2AF2
CDK8
JAK2
PMS2
DDR1
CDK9
JAK3
PTEN
FLT1
CDKN2A
KDR
PTPN11
JAK1
