Gene Names
ABL1
ABL2
AIM2
AKT1
AKT2
AKT3
ALK
APC
AR
ARAF
ARID1A
ATM
ATR
AURKA
AURKB
AXIN1
AXL
BAP1
BARD1
BCL2
BIRC5
BRAF
BRCA1
BRCA2
BRD3
BRD4
BRIP1
BTK
CALR
CBL
CCND1
CCND2
CCND3
CCNE1
CD274
CD79A
CD79B
CDK12
CDK4
CDK6
CDK8
CDKN1A
CDKN2A
CHEK1
CHEK2
CREBBP
CRKL
CSF1R
CSF3R
CTNNB1
CXCR4
DDR1
DDR2
DDX11
DNMT3A
DNMT3B
DYRK1B
EGFR
EP300
EPHA2
EPHB4
ERBB2
ERBB3
ERBB4
ERG
ESR1
ETV1
EZH1
EZH2
FANCA
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCL
FANCM
FBXW7
FES
FGF19
FGF3
FGFR1
FGFR2
FGFR3
FGFR4
FH
FLCN
FLT1
FLT3
FLT4
FRK
FRS2
GLI1
GLI2
GNA11
GNAQ
GNAS
GRM3
HGF
HRAS
HSP90AA1
ID1
ID2
ID3
IDH1
IDH2
IGF1R
IKBKE
IL7R
IRS2
JAK1
JAK2
JAK3
JUN
KDM4C
KDR
KEAP1
KIAA1524
KIT
KRAS
LTK
MAP2K1
MAP2K2
MAP3K9
MAPK1
MCL1
MDM2
MDM4
MEN1
MET
MPL
MRE11
MSH2
MSH6
MST1R
MTOR
MYC
MYCL
MYCN
MYD88
NBN
NCOA3
NF1
NF2
NFE2L2
NISCH
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NRAS
NTRK1
NTRK2
NUAK2
PAK1
PALB2
PDGFRA
PDGFRB
PDPK1
PIK3CA
PIK3CB
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PIM1
PLK1
POLB
POLR2A
PPARG
PPM1D
PPP2R1A
PPP2R1B
PRKAA1
PTCH1
PTEN
PTK2
PTPN11
PTPRB
RAD50
RAD51
RAD51C
RAD51D
RAF1
RARA
RB1
RET
RHEB
RICTOR
RIT1
RNF43
ROS1
RSPO2
RSPO3
SEM1
SMARCB1
SMO
SRC
STAT3
STAT5A
STAT5B
STK11
SYK
TGFBR2
TNK2
TP53
TP63
TSC1
TSC2
TTK
VEGFA
VHL
