Gene Names
ABL1
AKT1
ALK
APC
ASXL1
ATM
ATRX
BCOR
BCORL1
BRAF
BRCA1
BRCA2
CALR
CBL
CBLB
CBLC
CDH1
CDKN2A
CEBPA
CSF1R
CSF3R
CTNNB1
DNMT3A
EGFR
EML4
ERBB2
ERBB4
ETV6
EZH2
FBXW7
FGFR1
FGFR2
FGFR3
FLT3
FOXL2
GATA1
GATA2
GNA11
GNAQ
GNAS
HNF1A
HRAS
IDH1
IDH2
IKZF1
JAK2
JAK3
KDM6A
KDR
KIT
KMT2A
KRAS
MAP2K1
MET
MLH1
MPL
MSH6
MYD88
NOTCH1
NPM1
NRAS
PDGFRA
PHF6
PIK3CA
PTEN
PTPN11
RAD21
RB1
RET
ROS1
RUNX1
SETBP1
SF3B1
SMAD4
SMARCB1
SMC3
SMO
SRC
SRSF2
STAG2
STK11
TET2
TP53
U2AF1
VHL
ZRSR2
